"date","state","party","amt"
"2020-03-03","VT","D",614
"2020-03-03","VT","R",300
"2020-03-03","VA","D",12001
"2020-03-03","VA","R",1110
"2020-03-03","DC","D",1937
"2020-03-03","DC","R",300
"2020-03-03","WA","D",6359
"2020-03-03","WA","R",948
"2020-03-03","WV","D",757
"2020-03-03","WV","R",409
"2020-03-03","WI","D",2919
"2020-03-03","WI","R",597
"2020-03-03","WY","D",224
"2020-03-03","WY","R",300
"2020-03-04","AL","D",3632
"2020-03-04","AL","R",1541
"2020-03-04","AK","D",506
"2020-03-04","AK","R",409
"2020-03-04","AZ","D",6977
"2020-03-04","AZ","R",2216
"2020-03-04","AR","D",2099
"2020-03-04","AR","R",921
"2020-03-04","CA","D",46115
"2020-03-04","CA","R",6722
"2020-03-04","CO","D",7308
"2020-03-04","CO","R",1610
"2020-03-04","CT","D",5624
"2020-03-04","CT","R",551
"2020-03-04","DE","D",1924
"2020-03-04","DE","R",300
"2020-03-04","FL","D",26168
"2020-03-04","FL","R",5988
"2020-03-04","GA","D",9947
"2020-03-04","GA","R",2614
"2020-03-04","HI","D",969
"2020-03-04","HI","R",300
"2020-03-04","ID","D",1079
"2020-03-04","ID","R",676
"2020-03-04","IL","D",14181
"2020-03-04","IL","R",1915
"2020-03-04","IN","D",4775
"2020-03-04","IN","R",1468
"2020-03-04","IA","D",2922
"2020-03-04","IA","R",763
"2020-03-04","KS","D",2338
"2020-03-04","KS","R",800
"2020-03-04","KY","D",3178
"2020-03-04","KY","R",1049
"2020-03-04","LA","D",2404
"2020-03-04","LA","R",1119
"2020-03-04","ME","D",2123
"2020-03-04","ME","R",393
"2020-03-04","MD","D",9479
"2020-03-04","MD","R",861
"2020-03-04","MA","D",14507
"2020-03-04","MA","R",997
"2020-03-04","MI","D",14207
"2020-03-04","MI","R",2179
"2020-03-04","MN","D",6312
"2020-03-04","MN","R",1194
"2020-03-04","MS","D",3600
"2020-03-04","MS","R",798
"2020-03-04","MO","D",6841
"2020-03-04","MO","R",1504
"2020-03-04","MT","D",835
"2020-03-04","MT","R",455
"2020-03-04","NE","D",1259
"2020-03-04","NE","R",524
"2020-03-04","NV","D",2683
"2020-03-04","NV","R",887
"2020-03-04","NH","D",1917
"2020-03-04","NH","R",416
"2020-03-04","NJ","D",11921
"2020-03-04","NJ","R",1268
"2020-03-04","NM","D",1687
"2020-03-04","NM","R",562
"2020-03-04","NY","D",30229
"2020-03-04","NY","R",2620
"2020-03-04","NC","D",12257
"2020-03-04","NC","R",2730
"2020-03-04","ND","D",391
"2020-03-04","ND","R",300
"2020-03-04","OH","D",10266
"2020-03-04","OH","R",2437
"2020-03-04","OK","D",2542
"2020-03-04","OK","R",1455
"2020-03-04","OR","D",4817
"2020-03-04","OR","R",1111
"2020-03-04","PA","D",14613
"2020-03-04","PA","R",2400
"2020-03-04","RI","D",1576
"2020-03-04","RI","R",300
"2020-03-04","SC","D",5354
"2020-03-04","SC","R",1554
"2020-03-04","SD","D",475
"2020-03-04","SD","R",304
"2020-03-04","TN","D",5557
"2020-03-04","TN","R",1992
"2020-03-04","TX","D",22352
"2020-03-04","TX","R",8352
"2020-03-04","UT","D",2189
"2020-03-04","UT","R",837
"2020-03-04","VT","D",1007
"2020-03-04","VT","R",300
"2020-03-04","VA","D",12848
"2020-03-04","VA","R",2041
"2020-03-04","DC","D",3138
"2020-03-04","DC","R",300
"2020-03-04","WA","D",9999
"2020-03-04","WA","R",1897
"2020-03-04","WV","D",1093
"2020-03-04","WV","R",531
"2020-03-04","WI","D",4586
"2020-03-04","WI","R",993
"2020-03-04","WY","D",353
"2020-03-04","WY","R",330
"2020-03-05","AL","D",2754
"2020-03-05","AL","R",2666
"2020-03-05","AK","D",460
